seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
1 PCA within_one_ct 10 20000 0.7 0.15 NA ASC 0.114558882189304 0.0485192439729066 0.00983254453944492 1515 227 2527 1768
9 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.552025840463012 0.549170033453551 0.549170033453551 20004 6001 2527 758
7 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.630780108553154 0.629694975782636 0.629694975782636 20004 14002 2527 758
10 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.619136128598587 0.616602342410348 0.616602342410348 20004 14002 2527 758
6 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.584804317919461 0.581807681168651 0.581807681168651 20004 14002 2527 758
10 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.542406373607114 0.539499470783077 0.539499470783077 20004 6001 2527 758
3 PCA across_cts 10 20000 0.5 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.573859024050782 0.572643959359832 0.572643959359832 20004 3000 2527 1263
6 PCA across_cts 10 20000 0.5 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.580646744512477 0.577282139003404 0.577282139003404 20004 3000 2527 1263
6 PCA within_one_ct 10 20000 0.3 0.15 NA ODC 0.0522642815418495 0.0386489510724694 0.000848462231096609 12220 1833 2527 758
4 PCA across_cts 10 20000 0.5 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.559160146238203 0.558322258673092 0.558322258673092 20004 3000 2527 1263
8 PCA within_one_ct 10 20000 0.5 0.15 NA MG 0.117682154064872 0.0659167655514346 0.00349982850361251 1292 193 2527 1263
1 PCA within_one_ct 105 40000 0.15 0.15 cts_100 all 0.109322945656679 0.0342689103721032 0.0259099269229662 291 43 2527 379
7 PCA across_cts 10 20000 0.5 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.534319128496799 0.531313791967774 0.531313791967774 20004 3000 2527 1263
8 PCA within_one_ct 105 40000 0.15 0.15 cts_100 all 0.120889250743011 0.0636109214025767 0.0167889263994587 609 91 2527 379
3 PCA within_one_ct 105 40000 0.15 0.3 cts_100 all 0.236597177291119 0.136223019938896 0.0172196312980945 889 266 2527 379
10 PCA within_one_ct 10 20000 0.7 0.15 NA INH 0.119444291323801 0.062086780041402 0.0366271380222382 1939 290 2527 1768
8 PCA within_one_ct 105 40000 0.15 0.5 cts_100 all 0.390753653358307 0.135283772485119 0.0337143958679331 609 304 2527 379
3 PCA within_one_ct 105 40000 0.15 0.5 cts_100 all 0.3996808453332 0.227483495171092 0.0184626876192952 889 444 2527 379
8 PCA within_one_ct 105 40000 0.15 0.3 cts_100 all 0.232979134938533 0.0779347929016527 0.115864841764503 609 182 2527 379
8 PCA within_one_ct 10 20000 0.3 0.3 NA MG 0.231934226982326 0.128386721318336 0.00470807808260677 1292 387 2527 758
8 PCA within_one_ct 10 20000 0.15 0.15 NA MG 0.115671711518122 0.0637848122353134 0.00498826806708464 1292 193 2527 379
7 PCA within_one_ct 105 40000 0.15 0.3 cts_100 all 0.239277965081089 0.0415965742857146 0.0267878014543015 597 179 2527 379
7 PCA within_one_ct 105 40000 0.15 0.15 cts_100 all 0.118234262835193 0.0225641344891538 0.0181314598453456 597 89 2527 379
2 PCA within_one_ct 105 40000 0.15 0.3 cts_100 all 0.237640119179354 0.140147054715911 0.0364050287435464 873 261 2527 379
7 PCA within_one_ct 105 40000 0.15 0.7 cts_100 all 0.554869397219272 0.112207483899742 0.0362714396273765 597 417 2527 379
3 PCA within_one_ct 105 40000 0.15 0.15 cts_100 all 0.113613636774352 0.0656597544513151 0.00879418107000808 889 133 2527 379
